District,Seat held in 2015-16,Party,Year elected to Senate (contiguous terms),STATUS,Website,,,,,Notes,
1,LeRoy Stumpf,DFL,1982,retiring,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1063#leg_service,,,,,,
2,Rod Skoe,DFL,2002,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1059#leg_service,,,,,,
3,Thomas (Tom) Bakk,DFL,2002,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1003#leg_service,,,,,Unopposed?,
4,Kent Eken,DFL,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1195,,,,,,
5,Tom Saxhaug,DFL,2002,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1056,,,,,,
6,David J Tomassoni,DFL,2000,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1064#leg_service,,,,,,
7,Roger Reinert,DFL,2010,retiring,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1167,,,,,,
8,Bill Ingebrigtsen,R,2006,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1120#leg_service,,,,,,
9,Paul Gazelka,R,2010,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1169#leg_service,,,,,,
10,Carrie Ruud,R,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1196#leg_service,,,,,,
11,Tony Lourey,DFL,2006,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1078,,,,,,
12,Torrey Westrom,R,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1197#leg_service,,,,,,
13,Michelle Fischbach,R,1996,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1012#leg_service,,,,,,
14,John Pederson,R,2010,retiring,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1170#leg_service,,,,,,
15,David Brown,R,2010,retiring,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1171#leg_service,,,,,,
16,Gary Dahms,R,2010,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1174#leg_service,,,,,,
17,Lyle Koenen,DFL,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1194,,,,,,
18,Scott J Newman,R,2010,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1173#leg_service,,,,,,
19,Kathy Sheran,DFL,2006,retiring,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1087#leg_service,,,,,,
20,Kevin L. Dahle,DFL,2008,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1160#leg_service,,,,,,
21,Matt Schmit,DFL,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1198#leg_service,,,,,,
22,Bill Weber,R,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1199#leg_service,,,,,,
23,Julie Rosen,R,2002,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1053#leg_service,,,,,,
24,Vicki Jensen,DFL,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1200#leg_service,,,,,,
25,David H. Senjem,R,2002,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1058#leg_service,,,,,,
26,Carla Nelson,R,2010,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1178#leg_service,,,,,,
27,Dan Sparks,DFL,2002,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1062#leg_service,,,,,,
28,Jeremy Miller,R,2010,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1179#leg_service,,,,,,
29,Bruce Anderson,R,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1201#leg_service,,,,,,
30,Mary Kiffmeyer,R,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1202#leg_service,,,,,,
31,Michelle Benson,R,2010,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1184#leg_service,,,,,,
32,Sean Nienow,R,2010,?,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1172,,,,,,**UPDATE WITH SOS SPELLING IF FILES
33,David Osmek,R,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1203#leg_service,,,,,,
34,Warren Limmer,R,1995,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1032#leg_service,,,,,,
35,Jim Abeler,R,2016,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1216#leg_service,,,,,,
36,John Hoffman,DFL,2012,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1205#leg_service,,,,,,
37,"Johnson, Alice",DFL,2012,retiring,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1206#leg_service,,,,,,
38,Roger Chamberlain,R,2010,filed,http://www.senate.leg.state.mn.us/members/member_bio.php?mem_id=1187#leg_service,,,,,,
